epoch,train,eval
0,5.9200021624565125,
1,6.666005492210388,
2,7.1568379402160645,
3,7.437866449356079,
4,7.6052175760269165,
5,7.829563081264496,
6,8.11185109615326,
7,8.105232954025269,
8,8.023620426654816,
9,8.126898050308228,
10,8.379002511501312,
11,8.284226417541504,
12,8.456282019615173,
13,8.507797837257385,
14,8.549680590629578,
15,8.635061860084534,
16,8.71730262041092,
17,8.756637156009674,
18,8.736173748970032,
19,8.80077588558197,
20,8.748597145080566,
21,8.893337488174438,
22,8.990246653556824,
23,9.029096484184265,
24,9.059974193572998,
25,8.991199433803558,
26,9.11958122253418,
27,9.127132296562195,
28,9.080151915550232,
29,9.157468557357788,
30,9.131932497024536,
31,9.145527958869934,
32,9.133009314537048,
33,9.242847323417664,
34,9.300081729888916,
35,9.376936674118042,
36,9.500892162322998,
37,9.519219160079956,
38,9.541056156158447,
39,9.488103985786438,
