epoch,train,eval
0,3.7682905197143555,
1,3.745260238647461,
2,3.7363972663879395,
3,3.77215838432312,
4,3.760725259780884,
5,3.788907527923584,
6,3.7647180557250977,
7,3.756084442138672,
8,3.7559609413146973,
9,3.76043438911438,
10,3.8009166717529297,
11,3.7551510334014893,
12,3.749269962310791,
13,3.7215795516967773,
14,3.746077537536621,
15,3.7954049110412598,
16,3.750314235687256,
17,3.7822139263153076,
18,3.7295446395874023,
19,3.7881760597229004,
20,3.7623531818389893,
21,3.747840404510498,
22,3.706732749938965,
23,3.7471141815185547,
24,3.780539035797119,
25,3.732666492462158,
26,3.7397494316101074,
27,3.7397634983062744,
28,3.7432992458343506,
29,3.755349636077881,
