epoch,train,eval
0,3.4462268352508545,
1,3.4135115146636963,
2,3.4280452728271484,
3,3.404334306716919,
4,3.429856300354004,
5,3.4129416942596436,
6,3.403334140777588,
7,3.382862091064453,
8,3.4236276149749756,
9,3.4509382247924805,
10,3.3911616802215576,
11,3.4725775718688965,
12,3.42631196975708,
13,3.408421754837036,
14,3.46443510055542,
15,3.419593572616577,
16,3.4315147399902344,
17,3.4159011840820312,
18,3.416675567626953,
19,3.4175667762756348,
20,3.4286813735961914,
21,3.4116015434265137,
22,3.3982646465301514,
23,3.4434897899627686,
24,3.407846450805664,
25,3.4052066802978516,
26,3.4084057807922363,
27,3.411832094192505,
28,3.4412784576416016,
29,3.442948818206787,
